Pokémon        	Generation	Encounters	Method    
Cyndaquil      	6         	576       	Masuda    
Froakie        	6         	1010      	Masuda    
Litwick        	6         	1226      	Masuda    
Charmander     	6         	125       	Masuda    
Bulbasaur      	6         	222       	Masuda    
Ponyta         	6         	497       	Masuda    
Eevee          	6         	127       	Masuda    
Buneary        	6         	103       	Masuda    
Mareep         	6         	424       	Masuda    
Piplup         	6         	84        	Masuda    
Torchic        	6         	5         	Masuda    
Porygon        	6         	224       	Masuda    
Tirtouga       	6         	2         	Masuda    
Litten         	7         	1579      	Masuda    
Rowlet         	7         	1         	Masuda    
Beldum         	7         	55        	Masuda    
Alolan Vulpix  	7         	24        	Masuda    
Minior         	7         	99        	Masuda    
Rockruff       	7         	232       	Masuda    
Riolu          	7         	13        	Masuda    
Magnemite      	7         	78        	Masuda    
Fennekin       	7         	52        	Masuda    
Salandit       	7         	63        	SOS       
Popplio        	7         	323       	Masuda    
Charmander     	7         	264       	Masuda    
Numel          	7         	136       	Masuda    
Eevee          	7         	339       	Masuda    
Totodile       	7         	240       	Masuda    
Poliwag        	7         	23        	SOS       
Ho-Oh          	6         	1129      	SR        
Litten         	7         	16        	Masuda    
Rockruff       	7         	114       	Masuda    
Charmander     	7         	664       	Masuda    
Cresselia      	7         	3705      	SR        
Eevee          	7         	325       	Masuda    
Ho-Oh          	2         	1834      	SR        
Groudon        	7         	9         	SR        
Celebi         	2         	1784      	SR        
Regigigas      	7         	207       	SR        
Rayquaza       	7         	587       	SR        
